Year,Day,Hour,Minute,Total_IMF,BZ(GSM),Velocity,Proton_density,Proton_temperature,Flow_pressure,Ae_index,SYM_H,days
2003,300,0,0,11.35,-6.39,457.2,2.08,103782.0,0.87,684,-34,300.0
2003,300,0,1,11.36,-6.32,447.3,1.98,108368.0,0.79,673,-35,300.00069444444443
2003,300,0,2,11.23,-6.62,456.0,2.25,87257.0,0.94,662,-35,300.00138888888887
2003,300,0,3,11.2,-6.76,,,,,671,-35,300.00208333333336
2003,300,0,4,11.15,-6.85,466.5,2.2,103913.0,0.96,655,-35,300.0027777777778
2003,300,0,5,11.18,-6.69,466.5,2.2,103913.0,0.96,652,-35,300.00347222222223
2003,300,0,6,11.1,-6.73,472.2,2.3,105342.0,1.03,636,-35,300.00416666666666
2003,300,0,7,11.08,-6.83,470.8,2.34,102144.0,1.04,631,-36,300.0048611111111
2003,300,0,8,11.06,-6.58,469.7,2.36,100769.0,1.04,623,-36,300.0055555555556
2003,300,0,9,11.0,-6.52,475.3,2.33,90693.0,1.05,613,-36,300.00625
2003,300,0,10,10.92,-6.7,473.1,2.37,81408.0,1.06,585,-36,300.00694444444446
2003,300,0,11,10.86,-6.28,472.4,2.34,82458.0,1.04,562,-37,300.0076388888889
2003,300,0,12,10.88,-7.06,474.4,2.27,81526.0,1.02,547,-37,300.0083333333333
2003,300,0,13,10.9,-7.11,475.3,2.26,80196.0,1.02,553,-37,300.00902777777776
2003,300,0,14,10.88,-7.05,477.0,2.14,81070.0,0.97,582,-37,300.0097222222222
2003,300,0,15,10.89,-6.87,477.0,2.14,81070.0,0.97,616,-37,300.0104166666667
2003,300,0,16,10.82,-6.92,477.7,2.08,69935.0,0.95,625,-38,300.0111111111111
2003,300,0,17,10.77,-6.83,477.7,2.08,69935.0,0.95,618,-38,300.01180555555555
2003,300,0,18,10.78,-6.68,473.4,2.16,77443.0,0.97,654,-38,300.0125
2003,300,0,19,10.84,-6.99,473.4,2.16,77443.0,0.97,684,-38,300.0131944444444
2003,300,0,20,10.76,-6.88,476.0,2.06,71445.0,0.93,665,-38,300.0138888888889
2003,300,0,21,10.71,-7.03,474.0,1.9,71986.0,0.85,655,-38,300.0145833333333
2003,300,0,22,10.7,-6.87,475.3,2.11,74639.0,0.95,637,-38,300.0152777777778
2003,300,0,23,10.67,-6.72,475.3,2.11,74639.0,0.95,628,-39,300.0159722222222
2003,300,0,24,10.69,-6.74,,,,,615,-39,300.01666666666665
2003,300,0,25,10.72,-6.48,472.9,2.02,74835.0,0.9,619,-39,300.0173611111111
2003,300,0,26,10.7,-6.75,472.9,2.02,74835.0,0.9,614,-39,300.0180555555556
2003,300,0,27,10.65,-6.58,474.4,1.92,73855.0,0.86,579,-40,300.01875
2003,300,0,28,10.64,-6.54,474.4,1.92,73855.0,0.86,587,-40,300.01944444444445
2003,300,0,29,10.63,-6.36,479.8,2.1,83846.0,0.97,586,-40,300.0201388888889
2003,300,0,30,10.61,-6.07,479.8,2.1,83846.0,0.97,577,-40,300.0208333333333
2003,300,0,31,10.57,-6.38,474.8,2.18,80712.0,0.98,574,-40,300.0215277777778
2003,300,0,32,10.7,-6.79,478.6,2.3,82665.0,1.05,581,-41,300.02222222222224
2003,300,0,33,10.66,-6.19,,,,,588,-41,300.0229166666667
2003,300,0,34,10.67,-6.12,475.0,2.09,81337.0,0.94,586,-41,300.0236111111111
2003,300,0,35,10.57,-6.2,475.0,2.09,81337.0,0.94,590,-41,300.02430555555554
2003,300,0,36,10.64,-6.2,482.7,1.93,76504.0,0.9,591,-41,300.025
2003,300,0,37,10.67,-6.32,476.8,1.93,75918.0,0.88,584,-42,300.02569444444447
2003,300,0,38,10.67,-6.33,469.1,1.93,74901.0,0.85,565,-42,300.0263888888889
2003,300,0,39,10.67,-6.5,461.0,1.9,69017.0,0.81,570,-42,300.02708333333334
2003,300,0,40,10.71,-6.55,459.5,1.94,61955.0,0.82,559,-42,300.02777777777777
2003,300,0,41,10.74,-6.57,463.7,2.15,78225.0,0.92,553,-43,300.0284722222222
2003,300,0,42,10.61,-6.46,464.5,2.08,97248.0,0.9,558,-43,300.02916666666664
2003,300,0,43,10.57,-6.54,463.1,1.95,93270.0,0.84,542,-43,300.0298611111112
2003,300,0,44,10.56,-6.48,463.1,1.88,88306.0,0.81,527,-43,300.0305555555556
2003,300,0,45,10.58,-6.38,466.5,2.04,91973.0,0.89,522,-44,300.03125
2003,300,0,46,10.55,-6.51,463.0,2.05,92495.0,0.88,498,-44,300.03194444444443
2003,300,0,47,10.43,-6.34,,,,,478,-45,300.03263888888887
2003,300,0,48,10.5,-6.26,,,,,460,-45,300.03333333333336
2003,300,0,49,10.46,-6.48,,,,,454,-45,300.0340277777778
2003,300,0,50,10.46,-6.47,,,,,437,-46,300.03472222222223
2003,300,0,51,10.47,-6.46,,,,,442,-46,300.03541666666666
2003,300,0,52,10.49,-6.39,,,,,441,-46,300.0361111111111
2003,300,0,53,10.44,-6.66,,,,,428,-46,300.0368055555556
2003,300,0,54,10.42,-6.55,451.9,2.26,126272.0,0.92,424,-46,300.0375
2003,300,0,55,10.49,-6.54,451.9,2.26,126272.0,0.92,408,-46,300.03819444444446
2003,300,0,56,10.47,-6.31,471.5,1.95,92726.0,0.87,382,-46,300.0388888888889
2003,300,0,57,10.54,-6.21,471.5,1.95,92726.0,0.87,361,-46,300.0395833333333
2003,300,0,58,10.53,-6.28,469.2,1.75,82115.0,0.77,380,-46,300.04027777777776
2003,300,0,59,10.44,-6.16,469.2,1.75,82115.0,0.77,371,-46,300.0409722222222
2003,300,1,0,10.43,-6.15,467.9,1.95,89051.0,0.85,382,-46,300.0416666666667
2003,300,1,1,10.41,-5.95,467.9,1.95,89051.0,0.85,368,-46,300.0423611111111
2003,300,1,2,10.36,-6.1,,,,,344,-46,300.04305555555555
2003,300,1,3,10.42,-6.08,472.1,2.21,93670.0,0.99,345,-46,300.04375000000005
2003,300,1,4,10.39,-6.13,472.1,2.21,93670.0,0.99,329,-46,300.0444444444445
2003,300,1,5,10.39,-6.35,468.7,1.82,87467.0,0.8,306,-46,300.0451388888889
2003,300,1,6,10.41,-6.3,468.7,1.82,87467.0,0.8,311,-46,300.0458333333333
2003,300,1,7,10.35,-6.26,464.1,2.01,76321.0,0.87,340,-46,300.0465277777778
2003,300,1,8,10.32,-6.1,464.1,2.01,76321.0,0.87,323,-47,300.0472222222222
2003,300,1,9,10.29,-5.91,463.5,2.16,85451.0,0.93,306,-47,300.0479166666667
2003,300,1,10,10.28,-5.6,463.5,2.16,85451.0,0.93,296,-47,300.04861111111114
2003,300,1,11,10.3,-5.92,462.8,1.88,81701.0,0.81,325,-47,300.0493055555556
2003,300,1,12,10.3,-6.26,462.8,1.87,82171.0,0.8,322,-47,300.05
2003,300,1,13,10.26,-6.41,461.6,1.68,92176.0,0.72,354,-47,300.05069444444445
2003,300,1,14,10.28,-6.24,464.7,2.06,89796.0,0.89,373,-47,300.0513888888889
2003,300,1,15,10.29,-6.25,464.7,2.06,89795.0,0.89,399,-47,300.05208333333337
2003,300,1,16,10.26,-5.78,461.5,1.93,90189.0,0.82,426,-48,300.0527777777778
2003,300,1,17,10.23,-5.42,463.1,1.9,88014.0,0.81,468,-48,300.05347222222224
2003,300,1,18,10.2,-5.3,463.0,2.0,81688.0,0.86,477,-48,300.0541666666667
2003,300,1,19,10.14,-4.54,462.3,2.03,87784.0,0.87,491,-48,300.0548611111111
2003,300,1,20,10.38,-7.17,461.5,2.0,78588.0,0.85,492,-49,300.0555555555556
2003,300,1,21,10.4,-6.9,462.5,1.78,80457.0,0.76,460,-49,300.05625000000003
2003,300,1,22,10.35,-6.67,464.5,1.93,84808.0,0.83,425,-48,300.05694444444447
2003,300,1,23,10.35,-6.75,464.1,1.79,85116.0,0.77,372,-48,300.0576388888889
2003,300,1,24,10.32,-5.97,476.4,1.74,65433.0,0.79,360,-47,300.05833333333334
2003,300,1,25,10.31,-6.08,469.3,1.59,70170.0,0.7,380,-47,300.05902777777777
2003,300,1,26,10.22,-5.95,470.8,1.78,62280.0,0.79,377,-47,300.05972222222226
2003,300,1,27,10.27,-5.88,472.4,1.82,63800.0,0.81,368,-48,300.0604166666667
2003,300,1,28,10.67,-5.97,474.8,1.87,59360.0,0.84,386,-48,300.0611111111112
2003,300,1,29,10.79,-5.93,468.6,1.92,62611.0,0.84,390,-48,300.0618055555556
2003,300,1,30,11.03,-6.38,466.7,1.99,63790.0,0.87,395,-48,300.0625
2003,300,1,31,11.13,-6.49,478.0,2.03,77504.0,0.93,404,-48,300.0631944444445
2003,300,1,32,11.04,-6.55,469.7,2.14,79930.0,0.94,422,-49,300.0638888888889
2003,300,1,33,11.0,-6.74,473.0,2.16,90141.0,0.97,415,-49,300.06458333333336
2003,300,1,34,11.01,-6.63,473.0,2.17,79389.0,0.97,429,-50,300.0652777777778
2003,300,1,35,10.92,-6.52,472.9,2.17,79389.0,0.97,426,-50,300.06597222222223
2003,300,1,36,10.92,-6.58,470.8,2.08,80194.0,0.92,438,-50,300.06666666666666
2003,300,1,37,10.9,-6.68,456.5,1.99,80785.0,0.83,425,-50,300.06736111111115
2003,300,1,38,10.83,-6.53,459.4,1.93,71263.0,0.81,409,-50,300.0680555555556
2003,300,1,39,10.82,-6.53,459.3,1.93,71263.0,0.81,388,-50,300.06875
2003,300,1,40,10.87,-6.38,462.3,1.9,81633.0,0.81,357,-50,300.06944444444446
2003,300,1,41,10.88,-6.53,462.3,1.9,81633.0,0.81,363,-50,300.0701388888889
2003,300,1,42,10.85,-6.66,457.5,1.97,89716.0,0.82,340,-50,300.0708333333333
2003,300,1,43,10.85,-6.69,457.5,1.97,89716.0,0.82,336,-50,300.0715277777778
2003,300,1,44,10.91,-6.77,458.3,1.93,87661.0,0.81,324,-50,300.07222222222225
2003,300,1,45,11.0,-6.74,458.4,1.94,87631.0,0.82,306,-50,300.0729166666667
2003,300,1,46,11.04,-7.07,462.6,2.04,85891.0,0.87,341,-51,300.0736111111111
2003,300,1,47,11.04,-6.89,468.9,1.83,84467.0,0.8,364,-51,300.07430555555555
2003,300,1,48,11.07,-6.64,468.9,1.83,84467.0,0.8,382,-51,300.07500000000005
2003,300,1,49,11.12,-6.96,468.7,2.21,97565.0,0.97,381,-51,300.0756944444445
2003,300,1,50,11.1,-7.0,468.7,2.21,97565.0,0.97,365,-50,300.0763888888889
2003,300,1,51,11.1,-6.97,,,,,382,-50,300.0770833333333
2003,300,1,52,11.03,-6.67,466.9,1.98,76658.0,0.86,388,-50,300.0777777777778
2003,300,1,53,11.07,-6.66,465.8,1.98,80591.0,0.86,388,-51,300.0784722222222
2003,300,1,54,11.2,-6.72,464.5,1.99,85397.0,0.86,395,-51,300.0791666666667
2003,300,1,55,11.27,-6.95,468.4,1.91,87956.0,0.84,411,-51,300.07986111111114
2003,300,1,56,11.3,-7.04,468.4,1.91,87956.0,0.84,423,-51,300.0805555555556
2003,300,1,57,11.24,-7.34,455.7,1.93,72704.0,0.8,442,-51,300.08125
2003,300,1,58,11.19,-7.51,460.5,1.93,91379.0,0.82,446,-51,300.08194444444445
2003,300,1,59,11.11,-7.37,456.0,1.88,92994.0,0.78,453,-51,300.0826388888889
2003,300,2,0,11.11,-7.31,454.7,2.02,88960.0,0.84,455,-51,300.0833333333333
2003,300,2,1,11.02,-6.47,460.2,1.89,106228.0,0.8,433,-51,300.0840277777777
2003,300,2,2,11.01,-5.82,469.1,2.1,85679.0,0.92,425,-52,300.0847222222222
2003,300,2,3,10.9,-6.33,464.8,2.19,89587.0,0.95,422,-51,300.0854166666667
2003,300,2,4,10.78,-6.45,456.9,2.1,95306.0,0.88,342,-51,300.0861111111111
2003,300,2,5,10.77,-6.77,456.9,2.1,95306.0,0.88,340,-51,300.08680555555554
2003,300,2,6,10.71,-6.85,,,,,363,-51,300.0875
2003,300,2,7,10.7,-6.67,,,,,356,-51,300.0881944444444
2003,300,2,8,10.66,-6.67,453.2,2.29,93366.0,0.94,398,-51,300.08888888888885
2003,300,2,9,10.62,-6.7,453.2,2.29,93366.0,0.94,388,-51,300.08958333333334
2003,300,2,10,10.64,-6.61,449.3,2.16,91941.0,0.87,386,-50,300.09027777777777
2003,300,2,11,10.75,-6.76,450.7,2.26,105671.0,0.92,373,-51,300.0909722222222
2003,300,2,12,10.69,-6.71,450.7,2.02,97509.0,0.82,362,-51,300.09166666666664
