Year,Day,Hour,Minute,Total_IMF,BZ(GSM),Velocity,Proton_density,Proton_temperature,Flow_pressure,Ae_index,SYM_H,days
2001,325,0,0,4.17,1.58,389.9,4.27,72176.0,1.3,23,-15,325.0
2001,325,0,1,4.11,1.68,389.2,4.09,70008.0,1.24,24,-14,325.00069444444443
2001,325,0,2,4.03,1.81,388.1,4.05,72388.0,1.22,25,-14,325.00138888888887
2001,325,0,3,4.01,1.68,389.0,3.96,72796.0,1.2,30,-14,325.00208333333336
2001,325,0,4,3.85,1.87,390.3,3.96,72851.0,1.21,32,-14,325.0027777777778
2001,325,0,5,3.85,1.84,390.7,4.08,74498.0,1.25,31,-14,325.00347222222223
2001,325,0,6,3.92,1.86,389.6,4.09,76011.0,1.24,30,-14,325.00416666666666
2001,325,0,7,3.96,2.03,389.7,4.2,71842.0,1.28,31,-14,325.0048611111111
2001,325,0,8,3.99,1.88,389.7,4.2,76428.0,1.28,31,-14,325.0055555555556
2001,325,0,9,3.9,1.71,387.9,3.91,74230.0,1.18,32,-14,325.00625
2001,325,0,10,3.73,1.46,388.3,3.91,75640.0,1.18,30,-14,325.00694444444446
2001,325,0,11,3.12,0.77,388.1,4.02,78333.0,1.21,29,-14,325.0076388888889
2001,325,0,12,2.59,0.51,386.8,4.39,85096.0,1.31,27,-13,325.0083333333333
2001,325,0,13,3.21,0.83,387.1,4.31,71780.0,1.29,25,-13,325.00902777777776
2001,325,0,14,3.24,1.11,387.1,4.31,71780.0,1.29,24,-13,325.0097222222222
2001,325,0,15,4.0,2.4,390.3,3.98,81559.0,1.21,23,-13,325.0104166666667
2001,325,0,16,3.67,2.09,390.3,3.98,81559.0,1.21,27,-13,325.0111111111111
2001,325,0,17,3.63,1.88,385.9,4.02,69867.0,1.2,29,-13,325.01180555555555
2001,325,0,18,3.08,1.62,386.1,4.56,83746.0,1.36,30,-13,325.0125
2001,325,0,19,3.7,1.65,389.0,4.4,74043.0,1.33,29,-13,325.0131944444444
2001,325,0,20,3.03,1.14,386.8,4.29,76352.0,1.28,29,-12,325.0138888888889
2001,325,0,21,2.99,1.03,386.1,4.29,75391.0,1.28,29,-12,325.0145833333333
2001,325,0,22,3.09,1.11,385.2,4.32,71909.0,1.28,27,-12,325.0152777777778
2001,325,0,23,3.38,1.26,385.5,4.28,65268.0,1.27,26,-12,325.0159722222222
2001,325,0,24,3.32,1.04,386.4,4.48,66636.0,1.34,27,-12,325.01666666666665
2001,325,0,25,3.24,1.04,388.2,4.41,75067.0,1.33,25,-12,325.0173611111111
2001,325,0,26,3.12,1.24,386.0,4.41,67336.0,1.31,27,-11,325.0180555555556
2001,325,0,27,3.1,1.48,387.2,4.48,69732.0,1.34,27,-11,325.01875
2001,325,0,28,3.37,1.47,389.1,4.34,72850.0,1.31,27,-11,325.01944444444445
2001,325,0,29,3.43,1.49,389.7,4.24,72883.0,1.29,27,-11,325.0201388888889
2001,325,0,30,3.27,1.82,389.8,4.41,70620.0,1.34,27,-11,325.0208333333333
2001,325,0,31,3.16,1.19,387.5,4.45,76991.0,1.34,26,-11,325.0215277777778
2001,325,0,32,3.25,1.45,387.5,4.45,76991.0,1.34,23,-11,325.02222222222224
2001,325,0,33,3.27,1.41,388.0,4.64,70804.0,1.4,20,-12,325.0229166666667
2001,325,0,34,3.21,1.05,387.9,4.64,70798.0,1.4,21,-11,325.0236111111111
2001,325,0,35,3.48,0.71,386.4,4.57,69386.0,1.36,22,-11,325.02430555555554
2001,325,0,36,3.5,0.84,386.2,4.42,58387.0,1.32,25,-11,325.025
2001,325,0,37,3.51,0.77,385.7,4.52,62750.0,1.34,30,-11,325.02569444444447
2001,325,0,38,3.54,0.84,386.6,4.54,62727.0,1.36,32,-11,325.0263888888889
2001,325,0,39,3.46,0.59,386.0,4.66,64271.0,1.39,33,-11,325.02708333333334
2001,325,0,40,3.45,1.0,385.2,4.61,61871.0,1.37,32,-10,325.02777777777777
2001,325,0,41,3.4,0.84,384.6,4.74,65282.0,1.4,30,-10,325.0284722222222
2001,325,0,42,3.44,0.46,385.4,4.7,63611.0,1.4,29,-10,325.02916666666664
2001,325,0,43,3.48,0.65,386.8,4.81,69700.0,1.44,30,-10,325.0298611111112
2001,325,0,44,3.48,1.02,387.2,4.53,69503.0,1.36,29,-10,325.0305555555556
2001,325,0,45,3.55,1.17,386.6,4.52,68151.0,1.35,28,-10,325.03125
2001,325,0,46,3.51,0.54,385.1,4.48,63051.0,1.33,31,-10,325.03194444444443
2001,325,0,47,3.58,0.25,385.1,4.48,63051.0,1.33,32,-9,325.03263888888887
2001,325,0,48,3.59,0.39,387.1,4.68,60205.0,1.4,32,-10,325.03333333333336
2001,325,0,49,3.55,0.36,386.8,4.74,60205.0,1.42,33,-9,325.0340277777778
2001,325,0,50,3.51,0.04,384.8,5.08,,1.5,25,-9,325.03472222222223
2001,325,0,51,3.59,0.26,383.9,4.68,65825.0,1.38,26,-10,325.03541666666666
2001,325,0,52,3.67,0.52,384.0,4.67,65629.0,1.38,26,-10,325.0361111111111
2001,325,0,53,3.73,0.7,386.8,4.1,58795.0,1.23,30,-10,325.0368055555556
2001,325,0,54,3.89,1.02,388.8,4.69,76337.0,1.42,32,-10,325.0375
2001,325,0,55,4.73,2.07,395.4,4.19,67512.0,1.31,35,-10,325.03819444444446
2001,325,0,56,4.84,2.47,395.4,4.19,67512.0,1.31,46,-10,325.0388888888889
2001,325,0,57,4.85,2.54,388.7,3.54,61070.0,1.07,55,-10,325.0395833333333
2001,325,0,58,4.9,2.62,388.7,3.54,61070.0,1.07,53,-10,325.04027777777776
2001,325,0,59,4.83,2.68,390.5,3.98,71435.0,1.21,54,-10,325.0409722222222
2001,325,1,0,4.76,2.7,390.5,4.01,71178.0,1.22,59,-10,325.0416666666667
2001,325,1,1,4.77,2.7,390.1,3.84,67797.0,1.17,58,-10,325.0423611111111
2001,325,1,2,4.73,2.6,390.2,3.69,65637.0,1.12,56,-9,325.04305555555555
2001,325,1,3,4.6,2.53,390.2,3.67,65433.0,1.12,54,-9,325.04375000000005
2001,325,1,4,4.5,2.45,392.3,4.18,71435.0,1.29,51,-10,325.0444444444445
2001,325,1,5,4.59,2.52,392.3,4.18,71435.0,1.29,51,-10,325.0451388888889
2001,325,1,6,4.56,2.5,388.2,3.88,68309.0,1.17,49,-10,325.0458333333333
2001,325,1,7,4.35,2.42,388.4,3.93,69262.0,1.19,46,-10,325.0465277777778
2001,325,1,8,4.36,2.48,388.7,3.97,63482.0,1.2,41,-10,325.0472222222222
2001,325,1,9,4.41,2.52,390.2,4.24,71588.0,1.29,38,-11,325.0479166666667
2001,325,1,10,4.55,2.73,390.0,4.09,75140.0,1.24,36,-11,325.04861111111114
2001,325,1,11,4.61,2.88,389.6,3.98,75670.0,1.21,38,-10,325.0493055555556
2001,325,1,12,4.72,3.07,389.1,3.9,68416.0,1.18,36,-11,325.05
2001,325,1,13,4.66,3.04,387.5,3.85,71921.0,1.16,37,-11,325.05069444444445
2001,325,1,14,4.63,3.0,386.4,3.93,76868.0,1.17,40,-11,325.0513888888889
2001,325,1,15,3.8,-0.64,383.6,5.19,69200.0,1.53,39,-11,325.05208333333337
2001,325,1,16,3.85,-0.69,384.0,5.38,61078.0,1.59,37,-11,325.0527777777778
2001,325,1,17,3.92,0.05,385.9,4.55,60726.0,1.36,36,-11,325.05347222222224
2001,325,1,18,4.29,0.98,389.6,4.25,63573.0,1.29,32,-11,325.0541666666667
2001,325,1,19,4.32,0.95,389.8,4.3,63745.0,1.31,31,-11,325.0548611111111
2001,325,1,20,4.25,1.62,387.4,4.11,76869.0,1.23,30,-11,325.0555555555556
2001,325,1,21,4.33,1.39,387.3,4.33,70980.0,1.3,30,-10,325.05625000000003
2001,325,1,22,4.47,2.15,386.8,4.37,72375.0,1.31,36,-10,325.05694444444447
2001,325,1,23,4.74,2.59,387.8,4.13,75606.0,1.24,41,-10,325.0576388888889
2001,325,1,24,4.73,2.56,,,,,44,-10,325.05833333333334
2001,325,1,25,4.73,2.56,,,,,44,-10,325.05902777777777
2001,325,1,26,4.75,2.48,388.9,4.01,84458.0,1.21,40,-10,325.05972222222226
2001,325,1,27,4.75,2.48,388.9,4.01,84458.0,1.21,34,-10,325.0604166666667
2001,325,1,28,4.73,2.45,,,,,29,-10,325.0611111111112
2001,325,1,29,,,,,,,25,-11,325.0618055555556
2001,325,1,30,4.79,2.42,,,,,25,-11,325.0625
2001,325,1,31,4.8,2.47,,,,,47,-11,325.0631944444445
2001,325,1,32,,,,,,,58,-10,325.0638888888889
2001,325,1,33,4.64,2.52,388.2,3.86,77143.0,1.16,61,-11,325.06458333333336
2001,325,1,34,4.68,2.44,388.2,3.86,77143.0,1.16,65,-11,325.0652777777778
2001,325,1,35,4.68,2.44,,,,,54,-11,325.06597222222223
2001,325,1,36,4.65,2.51,,,,,62,-11,325.06666666666666
2001,325,1,37,4.68,2.34,,,,,77,-11,325.06736111111115
2001,325,1,38,4.68,2.33,,,,,60,-11,325.0680555555556
2001,325,1,39,4.63,2.65,386.2,4.2,82610.0,1.25,50,-11,325.06875
2001,325,1,40,4.67,2.69,386.2,4.2,82610.0,1.25,56,-11,325.06944444444446
2001,325,1,41,4.67,2.69,,,,,67,-10,325.0701388888889
2001,325,1,42,4.63,2.74,,,,,60,-10,325.0708333333333
2001,325,1,43,4.43,1.28,379.8,4.54,81239.0,1.31,65,-10,325.0715277777778
2001,325,1,44,4.48,1.81,379.7,4.81,83125.0,1.39,61,-10,325.07222222222225
2001,325,1,45,4.56,1.55,382.2,4.57,84630.0,1.34,62,-10,325.0729166666667
2001,325,1,46,4.58,1.87,382.3,4.48,84636.0,1.31,68,-10,325.0736111111111
2001,325,1,47,4.55,1.6,384.2,4.52,78486.0,1.33,70,-10,325.07430555555555
2001,325,1,48,4.52,1.57,380.1,4.8,84184.0,1.39,70,-10,325.07500000000005
2001,325,1,49,4.53,1.54,384.4,4.5,77693.0,1.33,67,-9,325.0756944444445
2001,325,1,50,4.52,1.43,383.3,4.49,78570.0,1.32,62,-9,325.0763888888889
2001,325,1,51,4.63,1.49,382.2,4.57,80065.0,1.34,68,-9,325.0770833333333
2001,325,1,52,4.54,1.29,382.9,4.49,79983.0,1.32,69,-9,325.0777777777778
2001,325,1,53,4.47,1.68,381.2,4.64,82450.0,1.35,65,-9,325.0784722222222
