Year,Day,Hour,Minute,Total_IMF,BZ(GSM),Velocity,Proton_density,Proton_temperature,Flow_pressure,Ae_index,SYM_H,days
1998,265,0,0,5.0,1.69,374.9,5.34,100181.0,1.5,35,-3,265.0
1998,265,0,1,4.96,1.84,375.8,5.61,98611.0,1.58,34,-3,265.00069444444443
1998,265,0,2,4.93,2.11,377.0,5.33,90230.0,1.52,35,-3,265.00138888888887
1998,265,0,3,5.0,1.99,375.2,5.4,95227.0,1.52,34,-3,265.00208333333336
1998,265,0,4,5.1,1.45,375.3,5.42,84681.0,1.53,33,-3,265.0027777777778
1998,265,0,5,5.13,2.04,373.2,5.24,87945.0,1.46,33,-3,265.00347222222223
1998,265,0,6,5.14,2.06,374.4,5.45,86605.0,1.53,32,-3,265.00416666666666
1998,265,0,7,5.03,2.09,373.5,5.28,85063.0,1.47,32,-3,265.0048611111111
1998,265,0,8,4.98,2.02,373.8,5.15,89261.0,1.44,33,-3,265.0055555555556
1998,265,0,9,5.04,1.97,373.3,5.49,93923.0,1.53,33,-3,265.00625
1998,265,0,10,4.95,1.93,374.0,5.37,86722.0,1.5,32,-3,265.00694444444446
1998,265,0,11,4.91,1.93,373.5,5.65,88299.0,1.58,32,-3,265.0076388888889
1998,265,0,12,4.96,1.86,373.9,5.59,95909.0,1.56,32,-3,265.0083333333333
1998,265,0,13,4.95,1.9,,,,,33,-3,265.00902777777776
1998,265,0,14,4.97,1.89,374.5,5.12,87432.0,1.44,35,-3,265.0097222222222
1998,265,0,15,4.98,1.75,374.5,5.12,87432.0,1.44,35,-3,265.0104166666667
1998,265,0,16,4.97,1.85,373.5,5.56,93610.0,1.55,35,-2,265.0111111111111
1998,265,0,17,4.96,1.81,373.5,5.56,93610.0,1.55,34,-3,265.01180555555555
1998,265,0,18,4.95,1.6,372.9,5.51,102996.0,1.53,33,-3,265.0125
1998,265,0,19,4.92,2.27,374.3,5.28,87833.0,1.48,34,-3,265.0131944444444
1998,265,0,20,5.02,2.51,372.8,5.34,78812.0,1.48,33,-3,265.0138888888889
1998,265,0,21,5.06,2.63,372.7,5.34,78568.0,1.48,34,-3,265.0145833333333
1998,265,0,22,5.17,2.66,372.8,5.17,74189.0,1.44,33,-3,265.0152777777778
1998,265,0,23,5.14,2.59,373.2,5.08,74149.0,1.42,32,-3,265.0159722222222
1998,265,0,24,5.1,2.59,373.3,5.08,74143.0,1.42,31,-3,265.01666666666665
1998,265,0,25,5.11,2.52,372.4,5.12,74555.0,1.42,31,-3,265.0173611111111
1998,265,0,26,5.1,2.56,372.5,5.14,74643.0,1.43,33,-3,265.0180555555556
1998,265,0,27,5.0,2.21,372.6,5.31,75506.0,1.47,34,-3,265.01875
1998,265,0,28,4.96,1.75,372.6,5.31,75506.0,1.47,33,-3,265.01944444444445
1998,265,0,29,5.0,2.05,373.4,5.12,87391.0,1.43,32,-3,265.0201388888889
1998,265,0,30,5.11,2.43,374.4,5.14,86191.0,1.44,32,-3,265.0208333333333
1998,265,0,31,5.06,2.48,375.9,5.16,84328.0,1.46,32,-3,265.0215277777778
1998,265,0,32,5.11,2.5,375.4,5.07,84266.0,1.43,32,-3,265.02222222222224
1998,265,0,33,4.97,2.42,373.3,5.67,84437.0,1.58,31,-3,265.0229166666667
1998,265,0,34,4.99,2.51,374.4,5.34,81424.0,1.5,31,-3,265.0236111111111
1998,265,0,35,4.97,2.87,374.8,5.18,72250.0,1.46,32,-3,265.02430555555554
