Year,Day,Hour,Minute,Total_IMF,BZ(GSM),Velocity,Proton_density,Proton_temperature,Flow_pressure,Ae_index,SYM_H,days
2000,195,0,0,9.27,6.52,464.6,2.19,13766.0,0.95,37,-3,195.0
2000,195,0,1,9.32,6.42,464.6,2.19,13766.0,0.95,38,-3,195.00069444444443
2000,195,0,2,9.32,6.42,470.0,2.86,10556.0,1.26,38,-3,195.0013888888889
2000,195,0,3,9.38,6.32,463.9,2.38,13095.0,1.02,41,-3,195.00208333333333
2000,195,0,4,9.36,6.34,470.0,2.28,13081.0,1.01,42,-3,195.00277777777777
2000,195,0,5,9.33,6.65,471.7,2.41,14185.0,1.07,44,-3,195.00347222222223
2000,195,0,6,9.38,6.52,469.4,2.27,16287.0,1.0,49,-3,195.00416666666663
2000,195,0,7,9.45,6.28,468.3,2.34,14782.0,1.03,51,-3,195.0048611111111
2000,195,0,8,9.39,6.52,468.3,2.34,14782.0,1.03,51,-3,195.0055555555556
2000,195,0,9,9.39,6.6,468.7,2.04,12741.0,0.9,53,-3,195.00625
2000,195,0,10,9.42,6.28,472.7,2.47,10275.0,1.1,54,-3,195.00694444444449
2000,195,0,11,9.42,6.1,473.0,1.91,10901.0,0.85,55,-3,195.0076388888889
2000,195,0,12,9.43,5.92,473.0,1.91,10901.0,0.85,57,-2,195.00833333333333
2000,195,0,13,9.4,5.42,,,,,57,-2,195.0090277777778
2000,195,0,14,9.35,5.45,,,,,56,-3,195.00972222222225
2000,195,0,15,9.34,5.59,471.9,2.68,11091.0,1.19,58,-3,195.01041666666663
2000,195,0,16,9.4,5.96,471.9,2.68,11091.0,1.19,62,-3,195.01111111111112
2000,195,0,17,9.41,6.18,,,,,64,-3,195.01180555555555
2000,195,0,18,9.4,6.08,466.6,1.77,11472.0,0.77,63,-3,195.0125
2000,195,0,19,9.36,6.3,467.8,2.19,12120.0,0.96,61,-3,195.01319444444445
2000,195,0,20,9.35,6.41,470.7,3.33,13830.0,1.48,54,-3,195.01388888888889
2000,195,0,21,9.38,6.66,468.5,2.56,12478.0,1.12,48,-3,195.0145833333333
2000,195,0,22,9.27,6.86,468.1,2.53,12523.0,1.11,49,-2,195.01527777777775
2000,195,0,23,9.37,6.1,466.1,2.12,11390.0,0.92,59,-3,195.01597222222225
2000,195,0,24,9.38,6.32,468.4,2.32,10830.0,1.02,66,-2,195.01666666666668
2000,195,0,25,9.13,7.02,472.0,3.42,12092.0,1.52,69,-2,195.01736111111111
2000,195,0,26,9.22,7.87,479.2,2.36,19831.0,1.08,68,-2,195.01805555555555
2000,195,0,27,9.3,6.46,477.6,2.87,11291.0,1.31,61,-2,195.01875
2000,195,0,28,9.38,7.33,471.1,2.52,14059.0,1.12,56,-2,195.01944444444445
2000,195,0,29,9.36,7.34,471.6,2.97,12424.0,1.32,65,-1,195.02013888888888
2000,195,0,30,9.37,7.02,471.5,2.74,17510.0,1.22,72,-1,195.02083333333331
2000,195,0,31,9.31,6.76,470.2,2.75,16003.0,1.22,71,0,195.02152777777775
2000,195,0,32,9.4,6.95,466.4,3.38,11977.0,1.47,68,0,195.0222222222222
